x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
954,1005,tap,2025-11-06T17:41:17.709834,1920,1080,0.496875,0.9305555555555556
973,1013,tap,2025-11-06T17:41:19.485115,1920,1080,0.5067708333333333,0.937962962962963
1085,1035,tap,2025-11-06T17:41:20.953324,1920,1080,0.5651041666666666,0.9583333333333334
1081,402,tap,2025-11-06T17:41:23.619656,1920,1080,0.5630208333333333,0.37222222222222223
1759,316,tap,2025-11-06T17:41:27.326251,1920,1080,0.9161458333333333,0.29259259259259257
650,382,swipe_inicio,2025-11-06T17:41:30.721856,1920,1080,0.3385416666666667,0.3537037037037037
652,464,swipe_fim,2025-11-06T17:41:30.721856,1920,1080,0.33958333333333335,0.42962962962962964
630,472,swipe_inicio,2025-11-06T17:41:31.964862,1920,1080,0.328125,0.43703703703703706
654,308,swipe_fim,2025-11-06T17:41:31.964862,1920,1080,0.340625,0.2851851851851852
836,378,swipe_inicio,2025-11-06T17:41:35.213729,1920,1080,0.4354166666666667,0.35
896,298,swipe_fim,2025-11-06T17:41:35.213729,1920,1080,0.4666666666666667,0.2759259259259259
1085,358,swipe_inicio,2025-11-06T17:41:36.422023,1920,1080,0.5651041666666666,0.3314814814814815
1079,450,swipe_fim,2025-11-06T17:41:36.422023,1920,1080,0.5619791666666667,0.4166666666666667
1049,376,swipe_inicio,2025-11-06T17:41:38.599536,1920,1080,0.5463541666666667,0.34814814814814815
1081,258,swipe_fim,2025-11-06T17:41:38.599536,1920,1080,0.5630208333333333,0.2388888888888889
1253,541,swipe_inicio,2025-11-06T17:41:42.571167,1920,1080,0.6526041666666667,0.5009259259259259
1285,681,swipe_fim,2025-11-06T17:41:42.571167,1920,1080,0.6692708333333334,0.6305555555555555
1485,559,swipe_inicio,2025-11-06T17:41:44.443659,1920,1080,0.7734375,0.5175925925925926
1501,384,swipe_fim,2025-11-06T17:41:44.443659,1920,1080,0.7817708333333333,0.35555555555555557
1485,538,swipe_inicio,2025-11-06T17:41:47.181506,1920,1080,0.7734375,0.4981481481481482
1505,711,swipe_fim,2025-11-06T17:41:47.181506,1920,1080,0.7838541666666666,0.6583333333333333
1685,368,swipe_inicio,2025-11-06T17:41:49.466367,1920,1080,0.8776041666666666,0.34074074074074073
1687,669,swipe_fim,2025-11-06T17:41:49.466367,1920,1080,0.8786458333333333,0.6194444444444445
1671,549,swipe_inicio,2025-11-06T17:41:50.592238,1920,1080,0.8703125,0.5083333333333333
1717,290,swipe_fim,2025-11-06T17:41:50.592238,1920,1080,0.8942708333333333,0.26851851851851855
1483,547,swipe_inicio,2025-11-06T17:41:52.353148,1920,1080,0.7723958333333333,0.5064814814814815
1501,238,swipe_fim,2025-11-06T17:41:52.353148,1920,1080,0.7817708333333333,0.22037037037037038
1283,522,swipe_inicio,2025-11-06T17:41:54.293099,1920,1080,0.6682291666666667,0.48333333333333334
1295,230,swipe_fim,2025-11-06T17:41:54.293099,1920,1080,0.6744791666666666,0.21296296296296297
862,819,tap,2025-11-06T17:41:58.727379,1920,1080,0.44895833333333335,0.7583333333333333
1089,817,tap,2025-11-06T17:42:00.119369,1920,1080,0.5671875,0.7564814814814815
1353,837,tap,2025-11-06T17:42:01.201232,1920,1080,0.7046875,0.775
1571,857,tap,2025-11-06T17:42:02.074902,1920,1080,0.8182291666666667,0.7935185185185185
322,382,tap,2025-11-06T17:42:06.659863,1920,1080,0.16770833333333332,0.3537037037037037
1453,663,swipe_inicio,2025-11-06T17:42:08.354004,1920,1080,0.7567708333333333,0.6138888888888889
1209,210,swipe_fim,2025-11-06T17:42:08.354004,1920,1080,0.6296875,0.19444444444444445
1263,392,swipe_inicio,2025-11-06T17:42:10.300480,1920,1080,0.6578125,0.362962962962963
1157,893,swipe_fim,2025-11-06T17:42:10.300480,1920,1080,0.6026041666666667,0.8268518518518518
1277,693,swipe_inicio,2025-11-06T17:42:11.574561,1920,1080,0.6651041666666667,0.6416666666666667
1723,292,swipe_fim,2025-11-06T17:42:11.574561,1920,1080,0.8973958333333333,0.27037037037037037
1537,444,swipe_inicio,2025-11-06T17:42:12.831083,1920,1080,0.8005208333333333,0.4111111111111111
1521,835,swipe_fim,2025-11-06T17:42:12.831083,1920,1080,0.7921875,0.7731481481481481
820,496,tap,2025-11-06T17:42:13.959330,1920,1080,0.4270833333333333,0.45925925925925926
1387,551,swipe_inicio,2025-11-06T17:42:16.204615,1920,1080,0.7223958333333333,0.5101851851851852
1571,827,swipe_fim,2025-11-06T17:42:16.204615,1920,1080,0.8182291666666667,0.7657407407407407
822,541,tap,2025-11-06T17:42:16.923158,1920,1080,0.428125,0.5009259259259259
250,526,tap,2025-11-06T17:42:18.298479,1920,1080,0.13020833333333334,0.48703703703703705
1297,490,tap,2025-11-06T17:42:19.297202,1920,1080,0.6755208333333333,0.4537037037037037
1255,380,tap,2025-11-06T17:42:20.475038,1920,1080,0.6536458333333334,0.35185185185185186
1423,663,tap,2025-11-06T17:42:21.083467,1920,1080,0.7411458333333333,0.6138888888888889
1497,420,tap,2025-11-06T17:42:22.390298,1920,1080,0.7796875,0.3888888888888889
1315,380,tap,2025-11-06T17:42:23.628182,1920,1080,0.6848958333333334,0.35185185185185186
1387,691,tap,2025-11-06T17:42:24.595898,1920,1080,0.7223958333333333,0.6398148148148148
1523,392,tap,2025-11-06T17:42:25.594410,1920,1080,0.7932291666666667,0.362962962962963
808,518,tap,2025-11-06T17:42:26.526920,1920,1080,0.42083333333333334,0.47962962962962963
